Doc,Source Idx,Source,Target Idx,Target,Distance,Difference,relation_type
Annotation Curricula to Implicitly Train Non-Expert Annotators,20,Despite increasing performances of models trained in a semi-or unsupervised fashion (Peters et al.,23,Active learning assumes that resources for annotating data are limited and aims to reduce the number of labeled instances by only annotating those which contribute most to model training (Lewis and Gale 1994; Settles 2012).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,20,Despite increasing performances of models trained in a semi-or unsupervised fashion (Peters et al.,24,"This often results in sampled instances that are more difficult to annotate, putting an increased cognitive load on annotators, and potentially leading to a lower agreement or an increased annotation time (Settles, Craven, and Friedland 2008).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,20,Despite increasing performances of models trained in a semi-or unsupervised fashion (Peters et al.,25,Label suggestions directly target annotators by providing them with suggestions from a pre-trained,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,20,Despite increasing performances of models trained in a semi-or unsupervised fashion (Peters et al.,26,Although they are capable of effectively reducing the annotation time (Schulz et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,20,Despite increasing performances of models trained in a semi-or unsupervised fashion (Peters et al.,27,"2019; Klie, Eckart de Castilho, and Gurevych 2020), they bear the risk of biasing annotators towards the (possibly erroneous) suggested label (Fort and Sagot 2010).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,20,Despite increasing performances of models trained in a semi-or unsupervised fashion (Peters et al.,28,"At the same time, the rising popularity of large-scale datasets that are annotated by non-expert annotators (`` Bowman et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",8,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,20,Despite increasing performances of models trained in a semi-or unsupervised fashion (Peters et al.,29,2015; Sakaguchi et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",9,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,20,Despite increasing performances of models trained in a semi-or unsupervised fashion (Peters et al.,30,"2020), further increases the need for better training methods targeting non-expert annotators (Geva, Goldberg, and Berant 2019; Nie et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,20,Despite increasing performances of models trained in a semi-or unsupervised fashion (Peters et al.,31,2020; Rogers 2021).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,20,Despite increasing performances of models trained in a semi-or unsupervised fashion (Peters et al.,32,"Similarly, the goal of annotation curricula (AC) is to provide an ordering of instances during annotation that is optimized for learning the task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,20,Despite increasing performances of models trained in a semi-or unsupervised fashion (Peters et al.,33,The learning curriculum is a fundamental concept in educational research that proposes to order exercises to match a learner's proficiency (Vygotsky 1978; Krashen 1982) and has even motivated training strategies for machine learning models (Bengio et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",13,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,20,Despite increasing performances of models trained in a semi-or unsupervised fashion (Peters et al.,34,"are difficult to annotate, they explicitly emphasize the needs of a human annotator and gradually familiarize them with the annotation task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",14,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,21,2018; Devlin et al.,22,"2019), they still substantially benefit from labeled data (Peters, Ruder, and Smith 2019; Gururangan et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,21,2018; Devlin et al.,23,Active learning assumes that resources for annotating data are limited and aims to reduce the number of labeled instances by only annotating those which contribute most to model training (Lewis and Gale 1994; Settles 2012).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,21,2018; Devlin et al.,24,"This often results in sampled instances that are more difficult to annotate, putting an increased cognitive load on annotators, and potentially leading to a lower agreement or an increased annotation time (Settles, Craven, and Friedland 2008).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,21,2018; Devlin et al.,25,Label suggestions directly target annotators by providing them with suggestions from a pre-trained,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,21,2018; Devlin et al.,26,Although they are capable of effectively reducing the annotation time (Schulz et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,21,2018; Devlin et al.,27,"2019; Klie, Eckart de Castilho, and Gurevych 2020), they bear the risk of biasing annotators towards the (possibly erroneous) suggested label (Fort and Sagot 2010).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,21,2018; Devlin et al.,28,"At the same time, the rising popularity of large-scale datasets that are annotated by non-expert annotators (`` Bowman et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,21,2018; Devlin et al.,29,2015; Sakaguchi et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",8,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,21,2018; Devlin et al.,30,"2020), further increases the need for better training methods targeting non-expert annotators (Geva, Goldberg, and Berant 2019; Nie et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",9,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,21,2018; Devlin et al.,31,2020; Rogers 2021).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,21,2018; Devlin et al.,32,"Similarly, the goal of annotation curricula (AC) is to provide an ordering of instances during annotation that is optimized for learning the task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,21,2018; Devlin et al.,33,The learning curriculum is a fundamental concept in educational research that proposes to order exercises to match a learner's proficiency (Vygotsky 1978; Krashen 1982) and has even motivated training strategies for machine learning models (Bengio et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,21,2018; Devlin et al.,34,"are difficult to annotate, they explicitly emphasize the needs of a human annotator and gradually familiarize them with the annotation task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",13,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,22,"2019), they still substantially benefit from labeled data (Peters, Ruder, and Smith 2019; Gururangan et al.",23,Active learning assumes that resources for annotating data are limited and aims to reduce the number of labeled instances by only annotating those which contribute most to model training (Lewis and Gale 1994; Settles 2012).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,22,"2019), they still substantially benefit from labeled data (Peters, Ruder, and Smith 2019; Gururangan et al.",24,"This often results in sampled instances that are more difficult to annotate, putting an increased cognitive load on annotators, and potentially leading to a lower agreement or an increased annotation time (Settles, Craven, and Friedland 2008).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,22,"2019), they still substantially benefit from labeled data (Peters, Ruder, and Smith 2019; Gururangan et al.",25,Label suggestions directly target annotators by providing them with suggestions from a pre-trained,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,22,"2019), they still substantially benefit from labeled data (Peters, Ruder, and Smith 2019; Gururangan et al.",26,Although they are capable of effectively reducing the annotation time (Schulz et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,22,"2019), they still substantially benefit from labeled data (Peters, Ruder, and Smith 2019; Gururangan et al.",27,"2019; Klie, Eckart de Castilho, and Gurevych 2020), they bear the risk of biasing annotators towards the (possibly erroneous) suggested label (Fort and Sagot 2010).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,22,"2019), they still substantially benefit from labeled data (Peters, Ruder, and Smith 2019; Gururangan et al.",28,"At the same time, the rising popularity of large-scale datasets that are annotated by non-expert annotators (`` Bowman et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,22,"2019), they still substantially benefit from labeled data (Peters, Ruder, and Smith 2019; Gururangan et al.",29,2015; Sakaguchi et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,22,"2019), they still substantially benefit from labeled data (Peters, Ruder, and Smith 2019; Gururangan et al.",30,"2020), further increases the need for better training methods targeting non-expert annotators (Geva, Goldberg, and Berant 2019; Nie et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",8,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,22,"2019), they still substantially benefit from labeled data (Peters, Ruder, and Smith 2019; Gururangan et al.",31,2020; Rogers 2021).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",9,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,22,"2019), they still substantially benefit from labeled data (Peters, Ruder, and Smith 2019; Gururangan et al.",32,"Similarly, the goal of annotation curricula (AC) is to provide an ordering of instances during annotation that is optimized for learning the task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,22,"2019), they still substantially benefit from labeled data (Peters, Ruder, and Smith 2019; Gururangan et al.",33,The learning curriculum is a fundamental concept in educational research that proposes to order exercises to match a learner's proficiency (Vygotsky 1978; Krashen 1982) and has even motivated training strategies for machine learning models (Bengio et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,22,"2019), they still substantially benefit from labeled data (Peters, Ruder, and Smith 2019; Gururangan et al.",34,"are difficult to annotate, they explicitly emphasize the needs of a human annotator and gradually familiarize them with the annotation task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,23,Active learning assumes that resources for annotating data are limited and aims to reduce the number of labeled instances by only annotating those which contribute most to model training (Lewis and Gale 1994; Settles 2012).,24,"This often results in sampled instances that are more difficult to annotate, putting an increased cognitive load on annotators, and potentially leading to a lower agreement or an increased annotation time (Settles, Craven, and Friedland 2008).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,23,Active learning assumes that resources for annotating data are limited and aims to reduce the number of labeled instances by only annotating those which contribute most to model training (Lewis and Gale 1994; Settles 2012).,25,Label suggestions directly target annotators by providing them with suggestions from a pre-trained,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,23,Active learning assumes that resources for annotating data are limited and aims to reduce the number of labeled instances by only annotating those which contribute most to model training (Lewis and Gale 1994; Settles 2012).,26,Although they are capable of effectively reducing the annotation time (Schulz et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,23,Active learning assumes that resources for annotating data are limited and aims to reduce the number of labeled instances by only annotating those which contribute most to model training (Lewis and Gale 1994; Settles 2012).,27,"2019; Klie, Eckart de Castilho, and Gurevych 2020), they bear the risk of biasing annotators towards the (possibly erroneous) suggested label (Fort and Sagot 2010).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,23,Active learning assumes that resources for annotating data are limited and aims to reduce the number of labeled instances by only annotating those which contribute most to model training (Lewis and Gale 1994; Settles 2012).,28,"At the same time, the rising popularity of large-scale datasets that are annotated by non-expert annotators (`` Bowman et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,23,Active learning assumes that resources for annotating data are limited and aims to reduce the number of labeled instances by only annotating those which contribute most to model training (Lewis and Gale 1994; Settles 2012).,29,2015; Sakaguchi et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,23,Active learning assumes that resources for annotating data are limited and aims to reduce the number of labeled instances by only annotating those which contribute most to model training (Lewis and Gale 1994; Settles 2012).,30,"2020), further increases the need for better training methods targeting non-expert annotators (Geva, Goldberg, and Berant 2019; Nie et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,23,Active learning assumes that resources for annotating data are limited and aims to reduce the number of labeled instances by only annotating those which contribute most to model training (Lewis and Gale 1994; Settles 2012).,31,2020; Rogers 2021).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",8,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,23,Active learning assumes that resources for annotating data are limited and aims to reduce the number of labeled instances by only annotating those which contribute most to model training (Lewis and Gale 1994; Settles 2012).,32,"Similarly, the goal of annotation curricula (AC) is to provide an ordering of instances during annotation that is optimized for learning the task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",9,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,23,Active learning assumes that resources for annotating data are limited and aims to reduce the number of labeled instances by only annotating those which contribute most to model training (Lewis and Gale 1994; Settles 2012).,33,The learning curriculum is a fundamental concept in educational research that proposes to order exercises to match a learner's proficiency (Vygotsky 1978; Krashen 1982) and has even motivated training strategies for machine learning models (Bengio et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,23,Active learning assumes that resources for annotating data are limited and aims to reduce the number of labeled instances by only annotating those which contribute most to model training (Lewis and Gale 1994; Settles 2012).,34,"are difficult to annotate, they explicitly emphasize the needs of a human annotator and gradually familiarize them with the annotation task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,24,"This often results in sampled instances that are more difficult to annotate, putting an increased cognitive load on annotators, and potentially leading to a lower agreement or an increased annotation time (Settles, Craven, and Friedland 2008).",25,Label suggestions directly target annotators by providing them with suggestions from a pre-trained,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,24,"This often results in sampled instances that are more difficult to annotate, putting an increased cognitive load on annotators, and potentially leading to a lower agreement or an increased annotation time (Settles, Craven, and Friedland 2008).",26,Although they are capable of effectively reducing the annotation time (Schulz et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,24,"This often results in sampled instances that are more difficult to annotate, putting an increased cognitive load on annotators, and potentially leading to a lower agreement or an increased annotation time (Settles, Craven, and Friedland 2008).",27,"2019; Klie, Eckart de Castilho, and Gurevych 2020), they bear the risk of biasing annotators towards the (possibly erroneous) suggested label (Fort and Sagot 2010).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,24,"This often results in sampled instances that are more difficult to annotate, putting an increased cognitive load on annotators, and potentially leading to a lower agreement or an increased annotation time (Settles, Craven, and Friedland 2008).",28,"At the same time, the rising popularity of large-scale datasets that are annotated by non-expert annotators (`` Bowman et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,24,"This often results in sampled instances that are more difficult to annotate, putting an increased cognitive load on annotators, and potentially leading to a lower agreement or an increased annotation time (Settles, Craven, and Friedland 2008).",29,2015; Sakaguchi et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,24,"This often results in sampled instances that are more difficult to annotate, putting an increased cognitive load on annotators, and potentially leading to a lower agreement or an increased annotation time (Settles, Craven, and Friedland 2008).",30,"2020), further increases the need for better training methods targeting non-expert annotators (Geva, Goldberg, and Berant 2019; Nie et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,24,"This often results in sampled instances that are more difficult to annotate, putting an increased cognitive load on annotators, and potentially leading to a lower agreement or an increased annotation time (Settles, Craven, and Friedland 2008).",31,2020; Rogers 2021).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,24,"This often results in sampled instances that are more difficult to annotate, putting an increased cognitive load on annotators, and potentially leading to a lower agreement or an increased annotation time (Settles, Craven, and Friedland 2008).",32,"Similarly, the goal of annotation curricula (AC) is to provide an ordering of instances during annotation that is optimized for learning the task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",8,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,24,"This often results in sampled instances that are more difficult to annotate, putting an increased cognitive load on annotators, and potentially leading to a lower agreement or an increased annotation time (Settles, Craven, and Friedland 2008).",33,The learning curriculum is a fundamental concept in educational research that proposes to order exercises to match a learner's proficiency (Vygotsky 1978; Krashen 1982) and has even motivated training strategies for machine learning models (Bengio et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",9,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,24,"This often results in sampled instances that are more difficult to annotate, putting an increased cognitive load on annotators, and potentially leading to a lower agreement or an increased annotation time (Settles, Craven, and Friedland 2008).",34,"are difficult to annotate, they explicitly emphasize the needs of a human annotator and gradually familiarize them with the annotation task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,25,Label suggestions directly target annotators by providing them with suggestions from a pre-trained,26,Although they are capable of effectively reducing the annotation time (Schulz et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,25,Label suggestions directly target annotators by providing them with suggestions from a pre-trained,27,"2019; Klie, Eckart de Castilho, and Gurevych 2020), they bear the risk of biasing annotators towards the (possibly erroneous) suggested label (Fort and Sagot 2010).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,25,Label suggestions directly target annotators by providing them with suggestions from a pre-trained,28,"At the same time, the rising popularity of large-scale datasets that are annotated by non-expert annotators (`` Bowman et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,25,Label suggestions directly target annotators by providing them with suggestions from a pre-trained,29,2015; Sakaguchi et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,25,Label suggestions directly target annotators by providing them with suggestions from a pre-trained,30,"2020), further increases the need for better training methods targeting non-expert annotators (Geva, Goldberg, and Berant 2019; Nie et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,25,Label suggestions directly target annotators by providing them with suggestions from a pre-trained,31,2020; Rogers 2021).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,25,Label suggestions directly target annotators by providing them with suggestions from a pre-trained,32,"Similarly, the goal of annotation curricula (AC) is to provide an ordering of instances during annotation that is optimized for learning the task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,25,Label suggestions directly target annotators by providing them with suggestions from a pre-trained,33,The learning curriculum is a fundamental concept in educational research that proposes to order exercises to match a learner's proficiency (Vygotsky 1978; Krashen 1982) and has even motivated training strategies for machine learning models (Bengio et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",8,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,25,Label suggestions directly target annotators by providing them with suggestions from a pre-trained,34,"are difficult to annotate, they explicitly emphasize the needs of a human annotator and gradually familiarize them with the annotation task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",9,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,26,Although they are capable of effectively reducing the annotation time (Schulz et al.,27,"2019; Klie, Eckart de Castilho, and Gurevych 2020), they bear the risk of biasing annotators towards the (possibly erroneous) suggested label (Fort and Sagot 2010).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,26,Although they are capable of effectively reducing the annotation time (Schulz et al.,28,"At the same time, the rising popularity of large-scale datasets that are annotated by non-expert annotators (`` Bowman et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,26,Although they are capable of effectively reducing the annotation time (Schulz et al.,29,2015; Sakaguchi et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,26,Although they are capable of effectively reducing the annotation time (Schulz et al.,30,"2020), further increases the need for better training methods targeting non-expert annotators (Geva, Goldberg, and Berant 2019; Nie et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,26,Although they are capable of effectively reducing the annotation time (Schulz et al.,31,2020; Rogers 2021).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,26,Although they are capable of effectively reducing the annotation time (Schulz et al.,32,"Similarly, the goal of annotation curricula (AC) is to provide an ordering of instances during annotation that is optimized for learning the task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,26,Although they are capable of effectively reducing the annotation time (Schulz et al.,33,The learning curriculum is a fundamental concept in educational research that proposes to order exercises to match a learner's proficiency (Vygotsky 1978; Krashen 1982) and has even motivated training strategies for machine learning models (Bengio et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,26,Although they are capable of effectively reducing the annotation time (Schulz et al.,34,"are difficult to annotate, they explicitly emphasize the needs of a human annotator and gradually familiarize them with the annotation task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",8,no-link
